doc,word,value,value2
job1,ability meet deadline,0.0,0.0
job1,adobe cs5 programming,0.0,0.0
job1,advanced statistical technique,2.504,0.22
job1,advertisement multimedia design,0.0,0.0
job1,analysis modelling method,2.099,0.184
job1,analyzing visualizing large,0.0,0.0
job1,bachelor degree graphic,0.0,0.0
job1,background data science,0.0,0.0
job1,background photoshop dreamweaver,0.0,0.0
job1,background photoshop illustrator,0.0,0.0
job1,background proven experience,2.099,0.184
job1,bioinformatics data science,0.0,0.0
job1,bioinformatics database bioinformatics,0.0,0.0
job1,bioinformatics tool relevant,0.0,0.0
job1,corporate identity advertisement,0.0,0.0
job1,corporate identity product,0.0,0.0
job1,cs5 programming background,0.0,0.0
job1,data analysis modelling,2.099,0.184
job1,data science machine,0.0,0.0
job1,database bioinformatics tool,0.0,0.0
job1,degree graphic design,0.0,0.0
job1,delivering data science,0.0,0.0
job1,delivering machine learning,2.504,0.22
job1,design corporate identity,0.0,0.0
job1,design interactive medium,0.0,0.0
job1,design related field,0.0,0.0
job1,design strong knowledge,0.0,0.0
job1,design web design,0.0,0.0
job1,designer related field,0.0,0.0
job1,discipline bioinformatics data,0.0,0.0
job1,effective time management,0.0,0.0
job1,excellent oral written,0.0,0.0
job1,excellent skill adobe,0.0,0.0
job1,excellent skill bioinformatics,0.0,0.0
job1,experience advanced statistical,2.504,0.22
job1,experience bioinformatics data,0.0,0.0
job1,experience data analysis,2.099,0.184
job1,experience data analytic,0.0,0.0
job1,experience data architecture,0.0,0.0
job1,experience data design,2.504,0.22
job1,experience data modelling,0.0,0.0
job1,experience delivering data,0.0,0.0
job1,experience delivering machine,2.504,0.22
job1,experience graphic designer,0.0,0.0
job1,experience number following,1.811,0.159
job1,experience related scientific,0.0,0.0
job1,experience tool managing,0.0,0.0
job1,experience using sophisticated,0.0,0.0
job1,experience web marketing,0.0,0.0
job1,experienced mac platform,0.0,0.0
job1,five year experience,2.504,0.22
job1,following language tool,1.811,0.159
job1,four year experience,0.0,0.0
job1,graphic design related,0.0,0.0
job1,graphic design web,0.0,0.0
job1,graphic designer related,0.0,0.0
job1,identity advertisement multimedia,0.0,0.0
job1,identity product packaging,0.0,0.0
job1,java spark scala,2.099,0.184
job1,knowledge variety machine,0.0,0.0
job1,language tool sql,1.811,0.159
job1,learning predictive modelling,0.0,0.0
job1,mac platform excellent,0.0,0.0
job1,machine learning predictive,0.0,0.0
job1,machine learning project,2.099,0.184
job1,machine learning technique,0.0,0.0
job1,management skill ability,0.0,0.0
job1,managing analyzing visualizing,0.0,0.0
job1,marketing product packaging,0.0,0.0
job1,marketing production website,0.0,0.0
job1,marketing web design,0.0,0.0
job1,matlab sas java,2.099,0.184
job1,matlab sas sql,0.0,0.0
job1,method machine learning,0.0,0.0
job1,number following language,1.811,0.159
job1,one three year,0.0,0.0
job1,oral written skill,0.0,0.0
job1,packaging advertisement multimedia,0.0,0.0
job1,photoshop dreamweaver illustrator,0.0,0.0
job1,platform excellent skill,0.0,0.0
job1,please contact job1mail,2.504,0.22
job1,please contact job44mail,0.0,0.0
job1,product packaging advertisement,0.0,0.0
job1,production website design,0.0,0.0
job1,proficient graphic design,0.0,0.0
job1,proficient python r,0.0,0.0
job1,programming background data,0.0,0.0
job1,programming background photoshop,0.0,0.0
job1,programming background proven,2.099,0.184
job1,proven experience delivering,2.099,0.184
job1,python matlab sas,1.811,0.159
job1,python r programming,0.0,0.0
job1,related scientific discipline,0.0,0.0
job1,relevant programming language,0.0,0.0
job1,sas java spark,2.099,0.184
job1,scala aws tableau,0.0,0.0
job1,science machine learning,0.0,0.0
job1,scientific discipline bioinformatics,0.0,0.0
job1,skill ability communicate,0.0,0.0
job1,skill ability meet,0.0,0.0
job1,skill adobe cs5,0.0,0.0
job1,skill bioinformatics database,0.0,0.0
job1,sophisticated statistical method,0.0,0.0
job1,spark scala aws,0.0,0.0
job1,sql python matlab,1.811,0.159
job1,statistic programming background,1.811,0.159
job1,statistical method machine,0.0,0.0
job1,strong knowledge html,0.0,0.0
job1,strong statistic programming,1.811,0.159
job1,three year experience,1.588,0.14
job1,time management skill,0.0,0.0
job1,tool managing analyzing,0.0,0.0
job1,tool relevant programming,0.0,0.0
job1,tool sql python,1.811,0.159
job1,understanding marketing product,0.0,0.0
job1,understanding marketing production,0.0,0.0
job1,using sophisticated statistical,0.0,0.0
job1,variety machine learning,0.0,0.0
job1,visualizing large datasets,0.0,0.0
job1,web design interactive,0.0,0.0
job1,web design strong,0.0,0.0
job1,web marketing web,0.0,0.0
job1,website design corporate,0.0,0.0
job1,written skill ability,0.0,0.0
job1,year experience advanced,2.504,0.22
job1,year experience bioinformatics,0.0,0.0
job1,year experience data,1.811,0.159
job1,year experience graphic,0.0,0.0
job1,year experience related,0.0,0.0
job2,ability meet deadline,0.0,0.0
job2,adobe cs5 programming,0.0,0.0
job2,advanced statistical technique,0.0,0.0
job2,advertisement multimedia design,0.0,0.0
job2,analysis modelling method,2.099,0.186
job2,analyzing visualizing large,0.0,0.0
job2,bachelor degree graphic,0.0,0.0
job2,background data science,0.0,0.0
job2,background photoshop dreamweaver,0.0,0.0
job2,background photoshop illustrator,0.0,0.0
job2,background proven experience,2.099,0.186
job2,bioinformatics data science,0.0,0.0
job2,bioinformatics database bioinformatics,0.0,0.0
job2,bioinformatics tool relevant,0.0,0.0
job2,corporate identity advertisement,0.0,0.0
job2,corporate identity product,0.0,0.0
job2,cs5 programming background,0.0,0.0
job2,data analysis modelling,2.099,0.186
job2,data science machine,0.0,0.0
job2,database bioinformatics tool,0.0,0.0
job2,degree graphic design,0.0,0.0
job2,delivering data science,2.504,0.222
job2,delivering machine learning,0.0,0.0
job2,design corporate identity,0.0,0.0
job2,design interactive medium,0.0,0.0
job2,design related field,0.0,0.0
job2,design strong knowledge,0.0,0.0
job2,design web design,0.0,0.0
job2,designer related field,0.0,0.0
job2,discipline bioinformatics data,0.0,0.0
job2,effective time management,0.0,0.0
job2,excellent oral written,0.0,0.0
job2,excellent skill adobe,0.0,0.0
job2,excellent skill bioinformatics,0.0,0.0
job2,experience advanced statistical,0.0,0.0
job2,experience bioinformatics data,0.0,0.0
job2,experience data analysis,2.099,0.186
job2,experience data analytic,2.504,0.222
job2,experience data architecture,2.504,0.222
job2,experience data design,0.0,0.0
job2,experience data modelling,0.0,0.0
job2,experience delivering data,2.504,0.222
job2,experience delivering machine,0.0,0.0
job2,experience graphic designer,0.0,0.0
job2,experience number following,1.811,0.16
job2,experience related scientific,0.0,0.0
job2,experience tool managing,0.0,0.0
job2,experience using sophisticated,0.0,0.0
job2,experience web marketing,0.0,0.0
job2,experienced mac platform,0.0,0.0
job2,five year experience,0.0,0.0
job2,following language tool,1.811,0.16
job2,four year experience,2.099,0.186
job2,graphic design related,0.0,0.0
job2,graphic design web,0.0,0.0
job2,graphic designer related,0.0,0.0
job2,identity advertisement multimedia,0.0,0.0
job2,identity product packaging,0.0,0.0
job2,java spark scala,2.099,0.186
job2,knowledge variety machine,2.099,0.186
job2,language tool sql,1.811,0.16
job2,learning predictive modelling,0.0,0.0
job2,mac platform excellent,0.0,0.0
job2,machine learning predictive,0.0,0.0
job2,machine learning project,0.0,0.0
job2,machine learning technique,2.099,0.186
job2,management skill ability,0.0,0.0
job2,managing analyzing visualizing,0.0,0.0
job2,marketing product packaging,0.0,0.0
job2,marketing production website,0.0,0.0
job2,marketing web design,0.0,0.0
job2,matlab sas java,2.099,0.186
job2,matlab sas sql,0.0,0.0
job2,method machine learning,0.0,0.0
job2,number following language,1.811,0.16
job2,one three year,0.0,0.0
job2,oral written skill,0.0,0.0
job2,packaging advertisement multimedia,0.0,0.0
job2,photoshop dreamweaver illustrator,0.0,0.0
job2,platform excellent skill,0.0,0.0
job2,please contact job1mail,0.0,0.0
job2,please contact job44mail,0.0,0.0
job2,product packaging advertisement,0.0,0.0
job2,production website design,0.0,0.0
job2,proficient graphic design,0.0,0.0
job2,proficient python r,0.0,0.0
job2,programming background data,0.0,0.0
job2,programming background photoshop,0.0,0.0
job2,programming background proven,2.099,0.186
job2,proven experience delivering,2.099,0.186
job2,python matlab sas,1.811,0.16
job2,python r programming,0.0,0.0
job2,related scientific discipline,0.0,0.0
job2,relevant programming language,0.0,0.0
job2,sas java spark,2.099,0.186
job2,scala aws tableau,2.504,0.222
job2,science machine learning,0.0,0.0
job2,scientific discipline bioinformatics,0.0,0.0
job2,skill ability communicate,0.0,0.0
job2,skill ability meet,0.0,0.0
job2,skill adobe cs5,0.0,0.0
job2,skill bioinformatics database,0.0,0.0
job2,sophisticated statistical method,0.0,0.0
job2,spark scala aws,2.504,0.222
job2,sql python matlab,1.811,0.16
job2,statistic programming background,1.811,0.16
job2,statistical method machine,0.0,0.0
job2,strong knowledge html,0.0,0.0
job2,strong statistic programming,1.811,0.16
job2,three year experience,0.0,0.0
job2,time management skill,0.0,0.0
job2,tool managing analyzing,0.0,0.0
job2,tool relevant programming,0.0,0.0
job2,tool sql python,1.811,0.16
job2,understanding marketing product,0.0,0.0
job2,understanding marketing production,0.0,0.0
job2,using sophisticated statistical,0.0,0.0
job2,variety machine learning,2.099,0.186
job2,visualizing large datasets,0.0,0.0
job2,web design interactive,0.0,0.0
job2,web design strong,0.0,0.0
job2,web marketing web,0.0,0.0
job2,website design corporate,0.0,0.0
job2,written skill ability,0.0,0.0
job2,year experience advanced,0.0,0.0
job2,year experience bioinformatics,0.0,0.0
job2,year experience data,1.811,0.16
job2,year experience graphic,0.0,0.0
job2,year experience related,0.0,0.0
job3,ability meet deadline,0.0,0.0
job3,adobe cs5 programming,0.0,0.0
job3,advanced statistical technique,0.0,0.0
job3,advertisement multimedia design,0.0,0.0
job3,analysis modelling method,0.0,0.0
job3,analyzing visualizing large,2.504,0.227
job3,bachelor degree graphic,0.0,0.0
job3,background data science,2.504,0.227
job3,background photoshop dreamweaver,0.0,0.0
job3,background photoshop illustrator,0.0,0.0
job3,background proven experience,0.0,0.0
job3,bioinformatics data science,0.0,0.0
job3,bioinformatics database bioinformatics,0.0,0.0
job3,bioinformatics tool relevant,0.0,0.0
job3,corporate identity advertisement,0.0,0.0
job3,corporate identity product,0.0,0.0
job3,cs5 programming background,0.0,0.0
job3,data analysis modelling,0.0,0.0
job3,data science machine,2.504,0.227
job3,database bioinformatics tool,0.0,0.0
job3,degree graphic design,0.0,0.0
job3,delivering data science,0.0,0.0
job3,delivering machine learning,0.0,0.0
job3,design corporate identity,0.0,0.0
job3,design interactive medium,0.0,0.0
job3,design related field,0.0,0.0
job3,design strong knowledge,0.0,0.0
job3,design web design,0.0,0.0
job3,designer related field,0.0,0.0
job3,discipline bioinformatics data,0.0,0.0
job3,effective time management,0.0,0.0
job3,excellent oral written,0.0,0.0
job3,excellent skill adobe,0.0,0.0
job3,excellent skill bioinformatics,0.0,0.0
job3,experience advanced statistical,0.0,0.0
job3,experience bioinformatics data,0.0,0.0
job3,experience data analysis,0.0,0.0
job3,experience data analytic,0.0,0.0
job3,experience data architecture,0.0,0.0
job3,experience data design,0.0,0.0
job3,experience data modelling,2.504,0.227
job3,experience delivering data,0.0,0.0
job3,experience delivering machine,0.0,0.0
job3,experience graphic designer,0.0,0.0
job3,experience number following,1.811,0.164
job3,experience related scientific,0.0,0.0
job3,experience tool managing,2.504,0.227
job3,experience using sophisticated,0.0,0.0
job3,experience web marketing,0.0,0.0
job3,experienced mac platform,0.0,0.0
job3,five year experience,0.0,0.0
job3,following language tool,1.811,0.164
job3,four year experience,0.0,0.0
job3,graphic design related,0.0,0.0
job3,graphic design web,0.0,0.0
job3,graphic designer related,0.0,0.0
job3,identity advertisement multimedia,0.0,0.0
job3,identity product packaging,0.0,0.0
job3,java spark scala,0.0,0.0
job3,knowledge variety machine,2.099,0.19
job3,language tool sql,1.811,0.164
job3,learning predictive modelling,0.0,0.0
job3,mac platform excellent,0.0,0.0
job3,machine learning predictive,0.0,0.0
job3,machine learning project,2.099,0.19
job3,machine learning technique,2.099,0.19
job3,management skill ability,0.0,0.0
job3,managing analyzing visualizing,2.504,0.227
job3,marketing product packaging,0.0,0.0
job3,marketing production website,0.0,0.0
job3,marketing web design,0.0,0.0
job3,matlab sas java,0.0,0.0
job3,matlab sas sql,2.504,0.227
job3,method machine learning,0.0,0.0
job3,number following language,1.811,0.164
job3,one three year,0.0,0.0
job3,oral written skill,0.0,0.0
job3,packaging advertisement multimedia,0.0,0.0
job3,photoshop dreamweaver illustrator,0.0,0.0
job3,platform excellent skill,0.0,0.0
job3,please contact job1mail,0.0,0.0
job3,please contact job44mail,0.0,0.0
job3,product packaging advertisement,0.0,0.0
job3,production website design,0.0,0.0
job3,proficient graphic design,0.0,0.0
job3,proficient python r,0.0,0.0
job3,programming background data,2.504,0.227
job3,programming background photoshop,0.0,0.0
job3,programming background proven,0.0,0.0
job3,proven experience delivering,0.0,0.0
job3,python matlab sas,1.811,0.164
job3,python r programming,0.0,0.0
job3,related scientific discipline,0.0,0.0
job3,relevant programming language,0.0,0.0
job3,sas java spark,0.0,0.0
job3,scala aws tableau,0.0,0.0
job3,science machine learning,2.504,0.227
job3,scientific discipline bioinformatics,0.0,0.0
job3,skill ability communicate,0.0,0.0
job3,skill ability meet,0.0,0.0
job3,skill adobe cs5,0.0,0.0
job3,skill bioinformatics database,0.0,0.0
job3,sophisticated statistical method,0.0,0.0
job3,spark scala aws,0.0,0.0
job3,sql python matlab,1.811,0.164
job3,statistic programming background,1.811,0.164
job3,statistical method machine,0.0,0.0
job3,strong knowledge html,0.0,0.0
job3,strong statistic programming,1.811,0.164
job3,three year experience,1.588,0.144
job3,time management skill,0.0,0.0
job3,tool managing analyzing,2.504,0.227
job3,tool relevant programming,0.0,0.0
job3,tool sql python,1.811,0.164
job3,understanding marketing product,0.0,0.0
job3,understanding marketing production,0.0,0.0
job3,using sophisticated statistical,0.0,0.0
job3,variety machine learning,2.099,0.19
job3,visualizing large datasets,2.504,0.227
job3,web design interactive,0.0,0.0
job3,web design strong,0.0,0.0
job3,web marketing web,0.0,0.0
job3,website design corporate,0.0,0.0
job3,written skill ability,0.0,0.0
job3,year experience advanced,0.0,0.0
job3,year experience bioinformatics,0.0,0.0
job3,year experience data,1.811,0.164
job3,year experience graphic,0.0,0.0
job3,year experience related,0.0,0.0
job4,ability meet deadline,1.811,0.185
job4,adobe cs5 programming,0.0,0.0
job4,advanced statistical technique,0.0,0.0
job4,advertisement multimedia design,0.0,0.0
job4,analysis modelling method,0.0,0.0
job4,analyzing visualizing large,0.0,0.0
job4,bachelor degree graphic,2.099,0.214
job4,background data science,0.0,0.0
job4,background photoshop dreamweaver,0.0,0.0
job4,background photoshop illustrator,2.099,0.214
job4,background proven experience,0.0,0.0
job4,bioinformatics data science,0.0,0.0
job4,bioinformatics database bioinformatics,0.0,0.0
job4,bioinformatics tool relevant,0.0,0.0
job4,corporate identity advertisement,0.0,0.0
job4,corporate identity product,2.504,0.256
job4,cs5 programming background,0.0,0.0
job4,data analysis modelling,0.0,0.0
job4,data science machine,0.0,0.0
job4,database bioinformatics tool,0.0,0.0
job4,degree graphic design,2.099,0.214
job4,delivering data science,0.0,0.0
job4,delivering machine learning,0.0,0.0
job4,design corporate identity,2.099,0.214
job4,design interactive medium,0.0,0.0
job4,design related field,2.099,0.214
job4,design strong knowledge,0.0,0.0
job4,design web design,0.0,0.0
job4,designer related field,2.099,0.214
job4,discipline bioinformatics data,0.0,0.0
job4,effective time management,1.811,0.185
job4,excellent oral written,0.0,0.0
job4,excellent skill adobe,0.0,0.0
job4,excellent skill bioinformatics,0.0,0.0
job4,experience advanced statistical,0.0,0.0
job4,experience bioinformatics data,0.0,0.0
job4,experience data analysis,0.0,0.0
job4,experience data analytic,0.0,0.0
job4,experience data architecture,0.0,0.0
job4,experience data design,0.0,0.0
job4,experience data modelling,0.0,0.0
job4,experience delivering data,0.0,0.0
job4,experience delivering machine,0.0,0.0
job4,experience graphic designer,2.099,0.214
job4,experience number following,0.0,0.0
job4,experience related scientific,0.0,0.0
job4,experience tool managing,0.0,0.0
job4,experience using sophisticated,0.0,0.0
job4,experience web marketing,0.0,0.0
job4,experienced mac platform,0.0,0.0
job4,five year experience,0.0,0.0
job4,following language tool,0.0,0.0
job4,four year experience,0.0,0.0
job4,graphic design related,2.099,0.214
job4,graphic design web,0.0,0.0
job4,graphic designer related,2.099,0.214
job4,identity advertisement multimedia,0.0,0.0
job4,identity product packaging,2.504,0.256
job4,java spark scala,0.0,0.0
job4,knowledge variety machine,0.0,0.0
job4,language tool sql,0.0,0.0
job4,learning predictive modelling,0.0,0.0
job4,mac platform excellent,0.0,0.0
job4,machine learning predictive,0.0,0.0
job4,machine learning project,0.0,0.0
job4,machine learning technique,0.0,0.0
job4,management skill ability,1.811,0.185
job4,managing analyzing visualizing,0.0,0.0
job4,marketing product packaging,0.0,0.0
job4,marketing production website,2.099,0.214
job4,marketing web design,0.0,0.0
job4,matlab sas java,0.0,0.0
job4,matlab sas sql,0.0,0.0
job4,method machine learning,0.0,0.0
job4,number following language,0.0,0.0
job4,one three year,0.0,0.0
job4,oral written skill,0.0,0.0
job4,packaging advertisement multimedia,0.0,0.0
job4,photoshop dreamweaver illustrator,0.0,0.0
job4,platform excellent skill,0.0,0.0
job4,please contact job1mail,0.0,0.0
job4,please contact job44mail,2.504,0.256
job4,product packaging advertisement,0.0,0.0
job4,production website design,2.099,0.214
job4,proficient graphic design,0.0,0.0
job4,proficient python r,0.0,0.0
job4,programming background data,0.0,0.0
job4,programming background photoshop,1.811,0.185
job4,programming background proven,0.0,0.0
job4,proven experience delivering,0.0,0.0
job4,python matlab sas,0.0,0.0
job4,python r programming,0.0,0.0
job4,related scientific discipline,0.0,0.0
job4,relevant programming language,0.0,0.0
job4,sas java spark,0.0,0.0
job4,scala aws tableau,0.0,0.0
job4,science machine learning,0.0,0.0
job4,scientific discipline bioinformatics,0.0,0.0
job4,skill ability communicate,0.0,0.0
job4,skill ability meet,1.811,0.185
job4,skill adobe cs5,0.0,0.0
job4,skill bioinformatics database,0.0,0.0
job4,sophisticated statistical method,0.0,0.0
job4,spark scala aws,0.0,0.0
job4,sql python matlab,0.0,0.0
job4,statistic programming background,0.0,0.0
job4,statistical method machine,0.0,0.0
job4,strong knowledge html,0.0,0.0
job4,strong statistic programming,0.0,0.0
job4,three year experience,0.0,0.0
job4,time management skill,1.811,0.185
job4,tool managing analyzing,0.0,0.0
job4,tool relevant programming,0.0,0.0
job4,tool sql python,0.0,0.0
job4,understanding marketing product,0.0,0.0
job4,understanding marketing production,2.099,0.214
job4,using sophisticated statistical,0.0,0.0
job4,variety machine learning,0.0,0.0
job4,visualizing large datasets,0.0,0.0
job4,web design interactive,0.0,0.0
job4,web design strong,0.0,0.0
job4,web marketing web,0.0,0.0
job4,website design corporate,2.099,0.214
job4,written skill ability,0.0,0.0
job4,year experience advanced,0.0,0.0
job4,year experience bioinformatics,0.0,0.0
job4,year experience data,0.0,0.0
job4,year experience graphic,0.0,0.0
